// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "也许待会儿吧，行吗？";
"Die, you sons-a-bitches!": "去死吧，你们这些杂种！";
"Mmm. Breakfast sure smells good!": "嗯，早餐闻起来真香！";
"Fine...": "行...";
"You're just a program, Maero.  In the real world, you're dead.": "你只是段程序，马罗。在现实世界，你已经死了。";
"My.  Way.  Works.": "我的。方法。行得通。";
"I am in the zone! The zone!": "我进入状态了！状态！";
"The American people don't exactly look favorably upon the President committing grand theft auto.": "美国人民可不乐意看到总统犯下偷车大罪。";
"Don't tease me, now.": "现在别逗我了。";
"Cupid's arrows are cruel, CID.": "丘比特的箭是残酷的，C.I.D.。";
"Do what, exactly? Huh? Bravado me to death?": "到底要干什么？嗯？用虚张声势吓死我吗？";
"Kinzie, she's falling too fast.": "金吉，她掉得太快了。";
"Is Kinzie okay?": "金吉没事吧？";
"This isn't for your empire, this is for the people of Earth.": "这不是为了你的帝国，这是为了地球上的人民。";
"Thank you.  Now to make my escape...": "谢谢。现在……该准备逃出去了。";
"Kinzie, we got incoming!": "金吉，我们被攻击了！";
"Oh. See, Kinzie, that actually makes it sound fun.": "哦。看吧，金吉，这么一说确实显得很有趣。";
"Let's do this, you beautiful monstrosity.": "来吧，你这漂亮的怪物。";
"You berks picked a fight with the wrong POTUS!": "你们这群蠢货惹错了总统！";
"Oh, he is pushing my buttons.": "哦，他在激怒我。";
"Aw, bloody hell!": "啊，见鬼！";
"I took out three of the relays. That's it, right?": "我拆掉了三个中继站。就这样了，对吧？";
"Bring on the man-cat...": "把那猫人放出来吧……";
"Get to CID! He's overheating!": "去C.I.D.那儿！他过热了！";
"That wasn't hard at all.": "那倒一点也不难。";
"Guess I'm not really in a hurry...to do anything. At all. HEY!": "我好像真的不赶时间……什么都不想干。完全不想。喂！";
"Good.  Shouldn't I be running, though?": "很好。但我是不是该跑起来？";
"Feeling a little competition there, Johnny?": "约翰尼，感受到竞争压力了？";
"Gotcha!": "逮到你了！";
"Hold on, this isn't an upgrade to my mind powers.": "等等，这可不是给我的精神力量升级。";
"Let's hope you don't.": "希望你可别。";
"Oh, I'm gonna mount you over the fireplace, you alien fuck.": "哦，我要把你钉在壁炉上，你这外星狗杂种。";
"Okay, is this -really- the time?": "好吧，现在真的是——说这个的时候吗？";
"The Cyprian Order are a sect of brave soldiers waging a clandestine war against the creatures of the night.": "塞浦路斯教团是一群勇敢的战士，在与黑暗生物进行秘密战争。";
"Oh shit! Matt get back!": "哦靠！马特，退回去！";
"It's not a proper party till the Murderbots arrive.": "杀人机器人不登场，派对就不算正式开。";
"DELETE": "删除";
"I'm gonna snap you, you sonofa...": "我要把你掰断，你这狗娘养的……";
"Now the STATUE has a name?": "现在那座雕像也有名字了？";
"Whoa, wait. You saved Keith David before me?": "哇，等等。你救基思·戴维在我之前？";
"A dead pirate with a black parrot?": "一个带着黑色鹦鹉的死海盗？";
"Oh sweet, sweet, robot...I'm never letting you go...": "哦，甜蜜的、甜蜜的机器人……我永远不会放开你……";
"So much for destiny...": "命运不过如此……";
"Goodness me, what a dream.": "天哪，多么美妙的梦。";
"The fish--?  Please do not change the subject.": "那鱼——？求你别岔开话题。";
"On one condition.": "有一个条件。";
"Anything you say, Shaundi.": "你说什么都行，莎蒂。";
"There we are!  Found where to put the virus.  Head there and protect the upload.": "找到了！找到放病毒的地方了。过去，保护上传。";
"Oh sure, 'cause it's me getting shot at.": "哦，当然，因为挨枪子的可是我。";
"Do you have a place I can test this?": "你有地方让我试试这个吗？";
"Matthew, be careful...": "马修，小心……";
"That's a question you should ask yourself, Zinyak.": "这个问题你该问问自己，齐尼亚克。";
"MATT! Quit mucking about!": "马特！别在那儿瞎忙了！";
"Shut the fuck up!": "闭上你的臭嘴！";
"When did you find the time to work that out?": "你什么时候有时间搞明白这个的？";
"C'mon, it's cute.": "来吧，挺可爱的。";
"Dammit.  I'm coming, Ben!": "该死，我来了，本！";
"Actually, Miss Press Secretary, that's your best suggestion since I got here..": "实际上，新闻秘书小姐，那是我来这里之后你提过的最棒的建议了。";
"Hurry! I'm being held captive by...": "快！我被抓起来了，被……";
"I'mgonnashoottheconduit!": "我这就开枪打导管！";
"Lights. Out.": "灯。灭了。";
"Good point.": "有道理。";
"I got my Second Amendment rights.": "我可是享有第二修正案赋予的权利。";
"Johnny you better be okay...": "约翰尼，你最好没事……";
"So we are pals now?": "所以我们现在是朋友了？";
"They?": "他们？";
"Paul?  You named it Paul?!": "保罗？你给它取名叫保罗？！";
"What is this?!  Am I fighting or throwing a block party?": "这算什么？！我是在战斗还是开街区派对？";
"Die, mascots, die!": "死吧，吉祥物们，死！";
"Whose army is this, really?": "说真的，这是谁的军队？";
"We are close now.": "我们快到了。";
"Two heads are better than one, Kinzie. Set it up.": "三个臭皮匠顶个诸葛亮，金吉。搭好吧。";
"Kinzie, the door is stuck...": "金吉，门卡住了……";
"Where to now?": "现在去哪儿？";
"This is so much cooler than Marine 1": "这可比「海军一号」酷多了";
"That's a question you should ask yourself.": "这个问题你该问问你自己。";
"Slow up.  Where you think you're goin'?": "慢点。你打算去哪儿？";
"Well how did you get out?": "那你是怎么出去的？";
"Does it matter which one?": "哪个重要吗？";
"Believe me, that's a bad idea.": "相信我，那是个馊主意。";
"He's made the tower invulnerable!  Hang on, I'll find a work around.": "他把塔变得刀枪不入了！等一下，我找个变通的办法。";
"Oh god. Come on...": "哦，天啊。来吧……";
"Kinzie, can't you shut him up?": "金吉，你不能让他闭嘴吗？";
"*sigh*  Kinzie, stop talking.": "*叹气* 金吉，别说了。";
"Well hey, there's always the RPGs out on the pool deck.": "嗯，嘿，泳池甲板上总还有火箭筒。";
"So.  NyteBlayde.  What more is there? A girlfriend, a love interest...?": "那么，「夜刃」。还有什么？女朋友，意中人……？";
"No, I genuinely want to know.": "不，我是真心想知道。";
"Do not worry, I'll be there, blah blah blah! FUCK.": "别担心，我会去的，废话连篇！操。";
"Mash the button and...": "猛按按钮，然后……";
"Ambushed on the way to the main villain. Nice, Matt. Good rising action.": "去大反派路上被伏击了。干得好，马特，冲突节奏把握得很好。";
"Whoa!": "哇！";
"Stay on target!": "保持目标！";
"So you and old you had a talk then?": "所以你和过去的你谈过了？";
"Too right I do... I was just a kid when I came here.  Hell I was too scared to talk back then.": "太对了，当然……我来的时候还只是孩子。那时我害怕得都不敢开口说话。";
"Then came Zinyak.  He snatched me from right out of my garage, thinking I knew how to stop the Saints.  He should've done a bit more research first, but I guess he was too busy trying to conquer Earth.  I got myself out of the Domination Matrix only to find I was trapped on his damn ship.  At least now I have the boss here to help me.  I think we have a real shot at making it home.": "然后是齐尼亚克。他把我从车库里掳走，以为我知道怎么阻止圣徒。他该先做点调研才对，不过我想他忙着征服地球吧。我从统治矩阵里逃出来，结果发现自己被困在他那该死的飞船上。至少现在有老大帮我了。我觉得我们真有机会回家。";
"Oh, I got something special planned for him.": "哦，我为他准备了点特别的。";
"Well...": "嗯……";
"We have a challenge to the throne here!": "这儿有人要挑战王位啊！";
"*struggling*": "*挣扎*";
"Well, before he lost his mind, he was my Vice President.": "呃，在他疯掉之前，他可是我的副总统。";
"Well nobody could replace you, Johnny.": "没人能取代你，约翰尼。";
"Aim for the mascots!": "瞄准吉祥物！";
"DELETE": "删除";
"Yep, I did.  What's wrong with that?": "是啊，我做了。有什么问题吗？";
"This one's for Uncle Sam!": "这一枪献给山姆大叔！";
"You can fly, CID.": "你能飞，C.I.D.。";
"Why would I waste *two* bullets on those lights when I can just use *one* on the guard?": "为什么要浪费*两颗*子弹打灯，而我可以只用*一颗*打守卫？";
"Do you expect the entire White House was demolished?": "你以为白宫整个被毁了吗？";
"I'm coming Johnny!": "我来了，约翰尼！";
"Fine, but I better get something outta this.": "行，但我最好能从中捞到点什么。";
"DELETE": "删除";
"Well, shoot.": "唉，开枪吧。";
"Where's Kinzie, Keith?": "金吉在哪，基思？";
"Not usually, no.": "一般不会，不。";
"Now, now. Not so fast.": "别急，别急。没那么快。";
"Oh shit! Matt get back!": "哦靠！吉尼亚，退回去！";
"You seem strangely calm about this whole thing, Kinzie.  I expected you to be on my case about how without these your Key won't work and I better not screw this up, blah blah blah.": "金吉，你表现得异常冷静啊。我本来以为你会揪着我说没有这些钥匙就没用，我最好别搞砸，你唠叨个没完。";
"Deal with who?": "和谁打交道？";
"Whoa, now!  I'm sorry! Just tell me how I get out.": "哇哦，别急！对不起！你只要告诉我怎么出去就行。";
"Admittedly, my mental projection of him may be a bit skewed.": "说实话，我对他的精神投影可能有点偏差。";
"Inside, now!": "快进去！";
"Glad to have Ben back. I'm really looking forward to his next book.": "很高兴本回来了。我真的很期待他的下一本书。";
"The only edge I need is already within me.": "我需要的唯一优势，早已在我心中。";
"Don't get too full of yourself now.": "现在别太得意忘形。";
"Though to be honest, I'm more worried about what we're gonna find when Kinzie links up your portal.": "不过说实话，我更担心金吉连上你那个传送门之后会撞见什么。";
"Stop it Keith!": "别这样，基思！";
"I pulled your ass out of prison, Matt, the least you can do is help protect the ship!": "我把你从监狱里捞出来，马特，你至少得帮忙保护飞船！";
"Nice, Asha. Real nice.": "干得漂亮，阿莎。真漂亮。";
"I wasn't criticizing, just saying.": "我不是批评，就是说说。";
"Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me.": "阿莎，我基本算是个超级英雄了。你尽管冲我来。";
"Kink? Kink, I get. But this?": "怪癖？怪癖我能理解。但这是？";
"I do like new weapons.": "我确实喜欢新武器。";
"It's charged. What next?": "充好电了。接下来呢？";
"Yeah, what's that?": "好，那是什么？";
"Let's get out of here.": "我们走吧。";
"Zinyak?  Aw, crap.": "齐尼亚克？啊，糟了。";
"It was good, right? Like really good? Be honest.": "那是好事，对吧？就像真的很棒？说真心话。";
"Damn it!": "该死！";
"Ben, you all right?": "本，你没事吧？";
"It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.": "如果留下的是莎蒂、活下来的是盖特，那就好了。又不是她除了整天骂骂咧咧还能干什么有用的事。";
"What is...what is happening?": "怎么回事……到底发生了什么？";
"Is there more to this nightmare realm than shooting lights and clueless guards?": "这个噩梦国度里，除了射灯和傻乎乎的守卫，就没别的了吗？";
"Most of all, this is for me.": "最重要的是，这是为了我自己。";
"Well, hellooo...": "嗯，你好呀……";
"Whoa, we're breaking pinatas now?": "哇，我们现在要砸皮纳塔了吗？";
"How's that shield coming, CID?": "C.I.D.，护盾弄得怎么样了？";
"It was on this plane where Shaundi and I lost our best friend.  Johnny Gat helped found the Saints originally, and Shaundi looked up to him ever since she joined.  He sacrificed himself to save us.  Now I want our friend back.": "正是在这架飞机上，莎蒂和我失去了最好的朋友。约翰尼·盖当初创立圣徒，莎蒂加入后一直仰慕他。他牺牲自己救了我们。现在，我要把我们的朋友带回来。";
"*struggling*": "*挣扎*";
"Wait, seriously?": "等等，认真的？";
"Oh, I got something special planned for him.": "哦，我为他准备了点特别的。";
"Are you fucking serious?": "你他妈是认真的吗？";
"Look out, here comes Paul!": "小心，保罗来了！";
"Fuck me. What was that?": "靠。那是什么？";
"DELETE": "删除";
"Sounds good.": "听起来不错。";
"Right...": "对...";
"What was that sexist crap Cyrus was spouting?": "赛勒斯嘴里那些性别歧视的废话是什么？";
"You'll find her in the park, Ben.": "你会在公园里找到她的，本。";
"Shit. Wh-what's it doing, Kinzie?": "妈的。它到底在干什么，金吉？";
"C'mon, Ben, tell me you're okay.": "来吧，本，告诉我你没事。";
"DELETE": "删除";
"You blew it up!": "你把它炸了！";
"Oh, good point.": "哦，有道理。";
"That's a face I hoped I'd never see again.": "那是一张我以为永远见不到的脸。";
"God, you and Kinzie both with your technobabble...": "天哪，你和金吉都爱讲那些技术黑话……";
"I'm sure you'll do a...fine job.": "我相信你会做得……还不错的。";
"You really think I could've made up something like that?": "你真以为我能编出那种话来？";
"I have to shoot the light and then him. I got it.": "我得先打灯，再打他。明白了。";
"You all right with this bunch?": "你跟这帮人处得来吗？";
"Alright, I like the sound of that.  What is it you need?": "好吧，我喜欢这个主意。你需要什么？";
"Who lives and who dies?": "谁活谁死？";
"Oh, you don't like that, do you now?": "哦，你不喜欢那样，对吧？";
"We've received a threat, sir. We need you to stay away.": "我们收到了威胁，先生。我们需要你远离此地。";
"No, ma'am.": "不，女士。";
"Pretty sure Kinzie saved a copy of her somewhere.": "我相当确定金吉在某个地方存了她的备份。";
"Code like code for the simulation? What's it do?": "像模拟器的代码？它能做什么？";
"Thanks for telling me in advance and not after I stole one of their devices and took to a supposedly safe spot.": "谢谢你提前告诉我，而不是在我偷了他们一个设备、跑到一个所谓的安全点之后。";
"Um... hi...": "嗯……嗨……";
"Like that's gonna stop me.": "好像那能拦住我似的。";
"I have to shoot the light and then him. I got it.": "我得先打灯，再打他。明白了。";
"So can we talk about why it is you have to kill me again?": "那我们能不能谈谈你为什么又要杀我？";
"So can we talk about why it is you have to kill me again?": "那我们能不能谈谈你为什么又要杀我？";
"We should probably go.": "我们该走了。";
"Yeah, don't.": "好，别。";
"You better believe we killed him first. After that, though...": "你最好相信我们先杀了那个家伙。不过在那之后……";
"I think I know how you can beat Paul.": "我想我知道该怎么打败保罗了。";
"Why would you want to help me and how do you know who I even am?": "你为什么要帮我，你怎么知道我是谁？";
"Zinyak has an old program he likes running around the city.  I say you kill it.": "Zinyak has an old program he likes running around the city.  I say you kill it.";
"That's MINE!": "That's MINE!";
"You really don't need to tell me that, Kinzie, but thanks.": "You really don't need to tell me that, Kinzie, but thanks.";
"Gat, you with me?": "Gat, you with me?";
"I'm ending you, Saint! Once and for all!": "I'm ending you, Saint! Once and for all!";
"You gonna be okay with them?": "You gonna be okay with them?";
"Boy, they really don't like you.  Just don't get yourself killed, alright?  I don't think Kinzie would be very happy with me.": "Boy, they really don't like you.  Just don't get yourself killed, alright?  I don't think Kinzie would be very happy with me.";
"What sort of keys do you have, Kinzie?  Mine don't come in parts.": "What sort of keys do you have, Kinzie?  Mine don't come in parts.";
"Up ya go!": "Up ya go!";
"You honestly believe a place exists where I don't call the shots?": "You honestly believe a place exists where I don't call the shots?";
"It's called raw talent, Matt.  And that wasn't the virus, that was something I was born to do.": "It's called raw talent, Matt.  And that wasn't the virus, that was something I was born to do.";
"Cardboard boxes? You're serious?": "Cardboard boxes? You're serious?";
"I've constructed a door that'll allow your mind to get out of the simulation and back into your body.  Head toward it.": "I've constructed a door that'll allow your mind to get out of the simulation and back into your body.  Head toward it.";
"Shit. This thing's tough...": "Shit. This thing's tough...";
"Well, well. There he is. Hey, why is he so much younger and...not in a uniform.": "Well, well. There he is. Hey, why is he so much younger and...not in a uniform.";
"Ha! I got him!": "Ha! I got him!";
"As IF--!": "As IF--!";
"Don't push it.": "Don't push it.";
"Hey Maero, how's Jessica?": "Hey Maero, how's Jessica?";
"Are you really abandoning--": "Are you really abandoning--";
"Honey, is there some reason you WANT me to get shot?": "Honey, is there some reason you WANT me to get shot?";
"Not anymore.  We've got nothing left in common.": "Not anymore.  We've got nothing left in common.";
"I was kidding!": "I was kidding!";
"All right, I'll give this plan of yours one more try then we're helping Shaundi.  The, uh, other Shaundi.": "All right, I'll give this plan of yours one more try then we're helping Shaundi.  The, uh, other Shaundi.";
"Are you fucking kidding me?": "你他妈在逗我？";
"Oh hell no!": "Oh hell no!";
"Now the STATUE has a name?": "Now the STATUE has a name?";
"Different, eh? How so?": "Different, eh? How so?";
"You're not?": "You're not?";
"Ha! You assholes pissed off the wrong POTUS!": "Ha! You assholes pissed off the wrong POTUS!";
"The doors are nice too.": "The doors are nice too.";
"No one's coming to save you now.": "No one's coming to save you now.";
"Nope, never mind, you're talking gibberish again.": "Nope, never mind, you're talking gibberish again.";
"So I just bang my foot down?": "So I just bang my foot down?";
"I do.  IN ONE OF THE CRATES AROUND THE ARMORY.": "I do.  IN ONE OF THE CRATES AROUND THE ARMORY.";
"I knew Genki couldn't be too far behind.": "I knew Genki couldn't be too far behind.";
"I tagged a target for you. I want to see you wipe this sucker out.": "I tagged a target for you. I want to see you wipe this sucker out.";
"Thanks for sparing me the monologue on how careful I need to be...": "Thanks for sparing me the monologue on how careful I need to be...";
"Pierce, honey, I don't think really had to--": "Pierce, honey, I don't think really had to--";
"A dead pirate with a black parrot?": "A dead pirate with a black parrot?";
"Prepare to die.": "Prepare to die.";
"You're right, it did.  Nice job, Pierce.": "You're right, it did.  Nice job, Pierce.";
"Glad you could make it back! You can give me my superpowers now.": "Glad you could make it back! You can give me my superpowers now.";
"Or maybe it just doesn't do anything like I said.": "Or maybe it just doesn't do anything like I said.";
"Done.": "Done.";
"Ow, you--": "Ow, you--";
"I had a great time, Johnny.": "I had a great time, Johnny.";
"Die, mascots, die!": "Die, mascots, die!";
"MI6, huh? All right. I'm game.": "MI6, huh? All right. I'm game.";
"You...": "You...";
"You gettin' off on this, Kinzie?": "You gettin' off on this, Kinzie?";
"I feel like a toilet at a bus stop.": "I feel like a toilet at a bus stop.";
"Oh what fools these mortals be!": "Oh what fools these mortals be!";
"You did it Matt!": "You did it Matt!";
"Ooh. Sounds serious.": "Ooh. Sounds serious.";
"I suppose I should not expect this to be easy.": "I suppose I should not expect this to be easy.";
"Yeah, but I'm still driving.": "Yeah, but I'm still driving.";
"Kinzie, the kids are at it again.": "Kinzie, the kids are at it again.";
"Right. I'll meet up with Johnny there.": "Right. I'll meet up with Johnny there.";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.";
"Same difference.": "Same difference.";
"If they're working for Tanya, I don't expect them to go quietly.": "If they're working for Tanya, I don't expect them to go quietly.";
"One bullshit trick after another.": "One bullshit trick after another.";
"Josh Birk. How's life after NyteBlayde?": "Josh Birk. How's life after NyteBlayde?";
"DELETE": "删除";
"Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.": "Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.";
"Then come back to the ship.  You're going to need help.": "Then come back to the ship.  You're going to need help.";
"I am curious, can this Artificial Intelligence have a body in the real world too?": "I am curious, can this Artificial Intelligence have a body in the real world too?";
"Cyrus has soldiers everywhere so be alert.": "Cyrus has soldiers everywhere so be alert.";
"Deal.": "Deal.";
"Yes, but Kinzie says she has a plan.": "Yes, but Kinzie says she has a plan.";
"Yeah, what's that?": "Yeah, what's that?";
"They keep coming!": "他们源源不断！";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"Can't you speed things up?": "Can't you speed things up?";
"Don't bet on it. I know he's still here somewhere.": "Don't bet on it. I know he's still here somewhere.";
"Since King has be reliving this over and over again it stands to reason that the parameters of the encounter should remain the same.": "Since King has be reliving this over and over again it stands to reason that the parameters of the encounter should remain the same.";
"Let me guess. I'm shooting the light.": "Let me guess. I'm shooting the light.";
"Let's stop the chit-chat. Let's get to the us kicking your ass.": "Let's stop the chit-chat. Let's get to the us kicking your ass.";
"This...getting a little weird for anyone else or just me?": "This...getting a little weird for anyone else or just me?";
"Ooof!": "Ooof!";
"DELETE": "删除";
"Well done. If you throw me into the generator again, I will continue hacking the shield on the relay.": "Well done. If you throw me into the generator again, I will continue hacking the shield on the relay.";
"So unlock them.": "So unlock them.";
"Don't let them get in this room!": "Don't let them get in this room!";
"Up ya go!": "Up ya go!";
"Can you call me NyteBlayde?": "Can you call me NyteBlayde?";
"Yeah.": "是啊。";
"Pierce! Ben! We have to go!": "Pierce! Ben! We have to go!";
"Good job getting Kinzie back. Though, shit, she seems tweaked about whatever happened there.": "Good job getting Kinzie back. Though, shit, she seems tweaked about whatever happened there.";
"What...are you...": "What...are you...";
"No more shield, Zinyak.  No more armor.": "No more shield, Zinyak.  No more armor.";
"Pierce and Ben are getting into that car. Let's cover them!": "Pierce and Ben are getting into that car. Let's cover them!";
"Not yet, Kinzie.": "Not yet, Kinzie.";
"Oh man. Am I glad that's over.": "Oh man. Am I glad that's over.";
"Yeah, and the Saints are my crew so get outta the way before I remind you why.": "Yeah, and the Saints are my crew so get outta the way before I remind you why.";
"I want to be compensated for my contribution.": "I want to be compensated for my contribution.";
"Be fair, she has a point.": "Be fair, she has a point.";
"Hey, little lady, glad you're okay.": "Hey, little lady, glad you're okay.";
"I'm curious, is there any way to get this AI a body in the real world too?": "I'm curious, is there any way to get this AI a body in the real world too?";
