# TODO: Translate to Simplified Chinese
# Source: diversion_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 265

"HASH_B4A2E1C0": "CO-OP DEATH TAG"
"HASH_F078B455": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_DD99E555": "GO TO [format][color:location]LOCATION[/format]"
"HASH_3C0E4276": "TEST VISUAL"
"HASH_9509DC36": "You died."
"HASH_0AC921B6": "翘头"
"HASH_FE3ED556": "{0:text_tag_crc} {1}"
"HASH_D73A85D6": "痛扁"
"HASH_492604D6": "押着店员走向收银台"
"HASH_973DE956": "你输了。按 {PICKUP_RELOAD_IMG} 继续。"
"HASH_89EEB4B6": "把车送回拆车坊。"
"HASH_BF8E0656": "高空翻滚纪录"
"HASH_ADADA216": "YOU ARE THE CAT. HAPPY HUNTING!"
"HASH_483A21B7": "STATUES DESTROYED"
"HASH_5B0B5817": "The Cat needs to catch the Mouse before he hits all the checkpoints."
"HASH_AF809E17": "Go to the location then wait for the TARGET to appear. \nKill Julius to be able to spawn him as a Saints Homie."
"HASH_34027E77": "领取暗杀目标名单"
"HASH_EAC818F7": "亨利米尔斯钢铁厂区"
"HASH_68C31897": "车轮"
"HASH_A3416ED7": "倒立"
"HASH_E56BCC17": "[format][color:use]DISABLE[/format] CONTROLLER"
"HASH_79FCE517": "发现的地点"
"HASH_83311017": "高空旋转纪录"
"HASH_1DF20117": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_7CD401D8": " [format][color:use]DISABLE[/format] GENERATORS"
"HASH_325829D8": "开始人质即时挑战"
"HASH_DEAE7558": "爆蛋击杀"
"HASH_6F02D778": "You received {GAME_CASH}%d and %d[format][color:purple]XP[/format] for helping your co-op partner."
"HASH_CFC5FC98": "逆向车道距离"
"HASH_91E36BD8": "AUDIO LOG"
"HASH_CEC714F8": "STEAL THE [format][color:use]VEHICLE[/format]"
"HASH_4C64B6F9": "ZINSASSER"
"HASH_124AF2D9": "Go to the location then wait for the TARGET to appear. \nDestroy the Old Version of yourself to stop his maniacal plans."
"HASH_E94CCC99": "落日公园"
"HASH_37727579": "WINDSHIELD CANNON"
"HASH_A56A99F9": "倒立纪录"
"HASH_E7D4B839": "HOLD %ls TO START STREAKING"
"HASH_3B40AE79": "动力漂移"
"HASH_E2B37D79": "拆车坊"
"HASH_9BFA88D9": "即时挑战已取消"
"HASH_1E76D579": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_FC09DC1A": "The Syndicate's golden boy on the Steelport PD is Lieutenant Gorshin in [format][color:em]New Colvin ... that's what Northeast Steelport is called.[/format] Anyway,[format][color:em] make some noise there[/format] and he'll probably come to you.  Then cap his ass and we'll be better off."
"HASH_EC3E721A": "VIRUS INJECTION"
"HASH_0C208E3A": "一击必杀"
"HASH_96B571DA": "多重击杀"
"HASH_85393A9A": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_CB271C9B": "参与拍照活动"
"HASH_1809FBBB": "The target was killed by another hitman!"
"HASH_0BB8BBBB": "挡风玻璃炮弹纪录"
"HASH_867FC23B": "动力漂移"
"HASH_AB55CE3B": " {ATTACK_SECONDARY_IMG} TO REVIVE IN DEATH TAG DIVERSION"
"HASH_A8B5987B": "[format][color:location]RETURN[/format] VEHICLE"
"HASH_F3FC603B": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_CFDC2B5C": "Go to the location then wait for the TARGET to appear. \nKill Maero to be able to spawn him as a Saints Homie."
"HASH_AF95993C": "START SECURITY DELETION"
"HASH_F0FA063C": "机场"
"HASH_A635AC1C": "贴地险飞"
"HASH_1A6633FC": "飞行器击杀"
"HASH_578CCBBC": "跟着店主去保险箱"
"HASH_5A48FC1D": "VIRUS COLLECTION"
"HASH_D633DF1D": "违禁包裹"
"HASH_B2D9225D": "翘尾"
"HASH_76BB6F1E": "ZINYAK STATUE"
"HASH_F5933F7E": "是否响应生存战呼叫随你……置之不理它很快会消失。想帮圣徒的，就把 GPS 设到地点，速速赶去！"
"HASH_ABDC9BFE": "ZINTROJAN"
"HASH_1D70B37E": "新科尔文"
"HASH_46DA75DE": "双轮"
"HASH_20D6AA5E": "剩余惊吓"
"HASH_608C98DE": "即时挑战已完成"
"HASH_9D39155E": "冲刺击倒"
"HASH_9A80501E": "搜寻目标载具"
"HASH_3881287E": "翘头纪录"
"HASH_6AACA95E": "VIRUS COLLECTION"
"HASH_DD6BF4BE": "JULIUS AUDIO LOGS"
"HASH_B35393DF": "接管协助"
"HASH_8E7E1C5F": "(START A CO-OP GAME TO PLAY THIS ACTIVITY)"
"HASH_826CE7DF": "这是个陷阱，那只是诱饵。去干掉真正的目标！"
"HASH_533FDC3F": "波次："
"HASH_B197FFBF": "抢劫"
"HASH_D55AC5DF": "秘密地点"
"HASH_0B278CFF": "烧胎"
"HASH_827FBA7F": "碾杀"
"HASH_90B0453F": "WAITING FOR ENEMY RESPAWN..."
"HASH_8F166C7F": "START VIRUS COLLECTION"
"HASH_1C69F3FF": "VIRUS COLLECTION"
"HASH_4D68983F": "START CAT AND MOUSE CO-OP ACTIVITY"
