# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"STAT_DIVERSION_RESPECT_EARNED": "XP EARNED IN DIVERSIONS"
"HASH_68F44108": "轮毂尺寸"
"HASH_B243FC88": "Time slows down."
"HASH_A5E5E088": "BIG HEAD MODE"
"HASH_F218A488": "Switch to Electric Telekinesis"
"HASH_22E35D88": "Settings"
"HASH_A7E75A09": "烈焰"
"HASH_7950D789": "载具碾压"
"STAT_HUMAN_SHIELD_KILLS": "人盾击杀数"
"HASH_DAC97D0A": "进入你的车库"
"HASH_889FE08A": "吉祥物"
"HASH_E77B6B8A": "Instantly spawns a Warden."
"HASH_7CA3818A": "son of a bitch"
"HASH_F6A2E20B": "Do you wish to purchase the {0} for {GAME_CASH}{1}?"
"HASH_2981FA8B": "旋叶"
"HASH_BC96BD0B": "槽位 2"
"HASH_E93B040B": "退出根据地"
"HASH_95D1388B": "猩红"
"HASH_6866E00B": "取消"
"HASH_B4397D0B": "Switch to Explosive Stomp"
"HASH_A1C9E40B": "COMMAND CIDS KILLED"
"HASH_CDC9FB8C": "武器库"
"HASH_AE33300C": "你的载具已修复"
"HASH_109FFF8C": "要把这件物品从衣柜中丢弃吗？"
"HASH_9403B98C": "购买"
"HASH_714B408C": "VIRUS INJECTION"
"HASH_5434B08C": "VIRUS INJECTION"
"HASH_F7F5EB8C": "双倍夹心"
"HASH_09772A8C": "叫车"
"HASH_BC512B0C": "TNA 的士"
"HASH_5D830B0C": "I need Tanya"
"HASH_5FB3328C": "New Game"
"HASH_C38B9F0D": "希腊佬"
"HASH_3F97CE0D": "生命全满"
"HASH_6861D88D": "GIVE MONSTER TRUCK"
"HASH_0CD5F68D": "Switch to Blast"
"HASH_9B1BAC8D": "god damn"
"HASH_F6E1DC8E": "确定要离开车库吗？"
"HASH_3439478E": "YOU DON'T HAVE ENOUGH DATA CLUSTERS"
"HASH_800F228E": "警告"
"HASH_995E468E": "否"
"HASH_4626A08E": "I need Ned"
"HASH_178A530E": "Switch to Mind Control Blast"
"HASH_F1BDFD8F": "火辣"
"HASH_0D6E058F": "不死之身"
"HASH_DF611C0F": "给你一整套武器。"
"HASH_159BCB0F": "人人都得缩水"
"HASH_9477A00F": "ASCII MODE"
"HASH_9FDA808F": "你不能叫车前往该地点。"
"HASH_35D9108F": "PREVIOUS"
"HASH_7F21650F": "WARDEN KILLS"
"HASH_1ADE2F0F": "DISTANCE BY SUPER SPRINT"
"STAT_COOP_ACTIVITIES_COMPLETED": "双人合作：活动完成数"
"HASH_DEA21710": "START STORE HACKING"
"HASH_23641F90": "弹匣永远满溢，你再也不需要换弹。"
"HASH_44CA9190": "中雨"
"HASH_203FDB90": "I don't need my birthday suit anymore"
"STAT_TOTAL_CASH_EARNED": "TOTAL CACHE EARNED"
"HASH_C2BF2191": "VIRUS INJECTION"
"HASH_9444BA91": "大家都喝高了。"
"HASH_A9E6F511": "Disables super powered movement abilities."
"HASH_2E290D91": "I need Hippie Shaundi"
"HASH_738A3B11": "I need King"
"HASH_3858EF11": "Extras"
"HASH_E5A69F12": "轮毂系列"
"HASH_3CC2E092": "购买"
"HASH_1BCFC892": "穿孔饰品"
"HASH_6F213092": "Medium"
"HASH_265E6D12": "Pause"
"STAT_DISTANCE_BY_CAR": "驾车里程"
"HASH_209DF393": "返回据点"
"HASH_71483193": "颜色"
"HASH_B23BE313": "Switch to Life Steal Telekinesis"
"HASH_86DAED93": "Difficult"
"STAT_MISSIONS_COMPLETED": "任务已完成"
"HASH_85764B94": "步枪"
"HASH_14327914": "武器升级 - 2 级"
"HASH_D7575494": "天生设计"
"HASH_2AADFC14": "取回"
"HASH_ECA86494": "吉米"
"Wrath_of_God": "神之怒"
"HASH_FB617194": "Unlocks the Blast super power."
"TOD_Cycle": "切换时间"
"HASH_70E20594": "所有武器获得无限弹药。"
"HASH_80052C14": "Controls"
"HASH_9C766894": "bullshit"
"HASH_FEF59D95": "退出商店\n\n确定吗？"
"HASH_4652AB15": "GIVE ALIEN TANK"
"Disable_Super_Powers": "DISABLE SUPER POWERS"
"HASH_1F245F15": "Spawn my Ride"
"HASH_899B4F95": "I need Odekar"
"HASH_87636195": "I need my birthday suit"
"STAT_WHEELIE_LONGEST_DISTANCE": "最长翘头行驶距离"
"STAT_CIVILIANS_KILLED": "平民击杀数"
"HASH_75C29796": "退出武器店\n\n确定吗？"
"HASH_9D5FCE16": "双轴"
"HASH_94DF9E16": "自定义角色"
"HASH_E6ED8196": "开瓶器"
"HASH_BB61BD16": "Golly, this cheat sure is swell!"
"HASH_45CF2C16": "所有车都试图撞翻你。"
"HASH_3EA9C596": "Switch to Bling Blast"
"HASH_923E7F16": "是"
"STAT_HOSPITAL_BILLS": "医院账单"
"STAT_DISTANCE_BY_VEHICLE": "载具行驶里程"
"STAT_CASH_EARNED_PER_DAY": "每小时收入"
"STAT_ACTIVITY_RESPECT_EARNED": "XP EARNED THROUGH ACTIVITIES"
"HASH_FFF1DC97": "退出车库？"
"HASH_A3655317": "I need Genki Backup"
"HASH_DC0A0318": "去纹身"
"HASH_9C389D18": "你确定要离开天生设计吗？"
"HASH_786EAC18": "纹身"
"HASH_401D2B98": "棒棒糖"
"Unlock_Super_Move": "UNLOCK SUPER MOVEMENT"
"HASH_D8DEB498": "路人战争"
"HASH_FC0E6998": "重力车厢"
"HASH_20138D98": "是"
"HASH_31219018": "I need Raptor Ned"
"HASH_2F36D218": "Switch to Bling Stomp"
"HASH_6C4F4399": "手枪"
"HASH_8234EA99": "轮胎尺寸"
"HASH_C7E28819": "车库"
"HASH_3F586799": "这处据点现在是你的了。\n你可以在此取用存放的现金、武器、衣物和载具。\n改装它能提升你的风格等级。"
"HASH_76997619": "Unlocks and purchases all Super Power Upgrades."
"HASH_CED09699": "I need Keith"
"HASH_0E621019": "Switch to Explosion Buff"
"HASH_67368799": "Switch to Explosive Telekinesis"
"HASH_18871F99": "返回键"
"STAT_TOTAL_DISTANCE_TRAVELLED": "总行驶里程"
"STAT_TOTAL_DAMAGE_TAKEN": "累计承受伤害"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "自定义物品消费"
"HASH_04AB8C1A": "Do you wish to purchase {0} for {GAME_CASH}{1}?"
"HASH_9D78669A": "保存套装"
"HASH_4A58CE9A": "龙"
"HASH_722B491A": "大力钳"
"HASH_C7D8E39A": "你的载具免疫伤害。"
"HASH_CB561B9A": "鹰线黄的士"
"HASH_5A5AA49A": "武直突击"
"HASH_4F1BB19A": "出租车"
"STAT_RUNNING_MAN_CASH_EARNED": "元气博士：赚取现金"
"STAT_ACTIVITIES_COMPLETED": "活动完成数"
"HASH_B46F351B": "这会脱掉你身上的所有衣物。\n光溜溜才能天体。\n确定吗？"
"HASH_1331A41B": "整形医生"
"HASH_2692441B": "Switch to Gravity Stomp"
"HASH_EC1C9C1B": "motherfucker"
"HASH_BC7B149C": "你无法再携带此类弹药了。"
"HASH_1FD9499C": "保存"
"HASH_CF1F121C": "现金不足"
"HASH_EE472D9C": "VIRUS INJECTION"
"HASH_B288C21C": "已购买"
"HASH_1C02691C": "小号"
"HASH_2471EE9C": "电击手"
"HASH_9DEFCC9C": "Unlocks the Stomp super power."
"HASH_B3F04D1C": "你的钱不够支付这趟车程。"
"HASH_0A55A39C": "I need Matt"
"HASH_1D7D7F1C": "Save Game"
"STAT_NEIGHBORHOODS_CONTROLLED": "控制地盘数"
"HASH_CB918D9D": "槽位 3"
"HASH_9CBBBC1D": "纹身店"
"HASH_19B1A19D": "天生设计"
"HASH_1F61D09D": "Nevermind"
"STAT_COOP_KILLS": "双人合作：击杀玩家数"
"HASH_4B34C61D": "ALIENS KILLED"
"HASH_535A2A1E": "超高轮廓"
"HASH_5E09629E": "确定要退出载具改装吗？"
"HASH_DCDDB11E": "空投跑车"
"HASH_16478C1E": "龙卷风"
"HASH_53162C1E": "保镖"
"HASH_F505E31E": "超级爆炸"
"HASH_0586949E": "你的载具会撞碎其他车辆。"
"HASH_DD7B139E": "玩家滑稽摔倒"
"HASH_4582D21E": "[format][scale:1.0][image:map_store_surgeon][/format]"
"HASH_033DA99E": "Settings"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "猫捉老鼠：最高得分"
"HASH_0E08371F": "查看装扮"
"HASH_FABB4F1F": "暂无装扮"
"HASH_0B223D1F": "你可以无限冲刺。"
"HASH_1739E120": "配色网格"
"HASH_D3519F20": "愤怒"
"HASH_EB2218A0": "毛茸茸"
"HASH_525F4A20": "大威利出租"
"HASH_63007D20": "修车工"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "嘲讽总数"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "多重击杀总数"
"HASH_6BBA09A0": "MARAUDERS KILLED"
"STAT_FLASHPOINTS_COMPLETED": "FLASHPOINTS COMPLETED"
"HASH_17DC7421": "PLANET ZIN"
"HASH_88166A21": "风格"
"HASH_4FB1F521": "Unlocks and purchases all non-super Upgrades."
"HASH_F4DA01A1": "I need Julius"
"HASH_7515CDA1": "fucking shit"
"HASH_F9E04B21": "BLAST KILLS"
"HASH_7443C122": "霰弹枪"
"HASH_28250AA2": "近战"
"HASH_6CEE2CA2": "升级"
"HASH_E167FDA2": "蘑菇"
"HASH_D9147A22": "棕色"
"HASH_F6EB2922": "Unlocks the Telekinesis super power."
"Player_Vehicle_No_Damage": "载具无敌"
"HASH_7B93C3A2": "ho ho ho, motherfucker"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "载具冲浪最长时间"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "车辆改装消费"
"HASH_5BE9D123": "当前弹药"
"HASH_7E97BBA3": "ACCESS SHIP/CUSTOMIZATION"
"HASH_57D9C723": "I need David"
"HASH_976B41A3": "Switch to Explosive Buff"
"STAT_VEHICLE_CAR": "汽车"
"STAT_TAUNT": "挑衅"
"HASH_7F484F24": "肥胖 {0}%%%%"
"HASH_8F4EDDA4": "后门"
"HASH_00D837A4": "摧毁"
"HASH_25D0F1A4": "Switch to Shrink Stomp"
"HASH_1C16C5A4": "Switch to Lightning Telekinesis"
"HASH_9A34F824": "Options"
"STAT_SHOT_HIT_PERCENTAGE": "射击命中率"
"STATS_NO": "否"
"HASH_542AB6A5": "UNLOCK BLAST"
"HASH_9F17EA25": "[format][scale:1.0][image:map_other_crib][/format]"
"HASH_F8343FA5": "Save"
"STATS_BLANK_OF_BLANK": "%d OF %d"
"HASH_9CC57AA6": "警告"
"HASH_982B94A6": "车轮"
"HASH_1DF962A6": "无"
"HASH_850B38A6": "生锈"
"HASH_BD78BF26": "湿漉漉"
"HASH_BFBF5AA6": "SUPER STOMP"
"Bloody_Mess": "猩红场面"
"HASH_935CF226": "I need Miller"
"HASH_84742EA6": "Save the Game"
"HASH_F4A56626": "TEXT ADVENTURE PIECES FOUND"
"HASH_AC02B7A7": "Do you wish to upgrade {0:text_tag_crc} for {GAME_CASH}{1}?"
"HASH_6BE0C4A7": "VIRUS INJECTION"
"HASH_11398FA7": "直升机坪"
"HASH_AC528127": "你"
"HASH_FB13D6A7": "I need Roddy"
"HASH_86688127": "Operator, hang up"
"STAT_WEAPON_RIFLE": "步枪"
"HASH_0434EF28": "INSANE CITY"
"HASH_CD040FA8": "Switch to Buff"
"HASH_F6286128": "Normal"
"HASH_BF573CA8": "Pause the Game"
"HASH_2B7A1DA9": "购买服装"
"HASH_E8416029": "车身改装"
"HASH_BA6FC9A9": "PLEASANT DAY"
"HASH_38205BA9": "Notoriety no longer spawns Wardens."
"HASH_3C5C9529": "I need Kinzie"
"HASH_2B32B2A9": "Switch to Vamp Telekinesis"
"HASH_758EF42A": "正在购买"
"HASH_7483102A": "你愿意花 %ls 叫这辆车吗？"
"HASH_6EA41CAA": "阴天"
"HASH_F46763AA": "I need the Dominatrix"
"HASH_B1710E2A": "Voice Commands"
"HASH_B9368A2A": "I don't want my birthday suit anymore"
"STAT_VEHICLES_HIJACKED": "劫持载具数"
"HASH_DB7EF3AB": "缩放 / 旋转"
"HASH_D0A331AB": "选择类别"
"HASH_45B5A12B": "UNLOCK STOMP"
"HASH_D1A3D8AB": "Unlocks the Buff super power."
"HASH_B7205C2B": "I need the Longhair"
"HASH_EA836AAB": "I need Ben"
"HASH_7D299D2B": "Show the Options Menu"
"HASH_F353FF2B": "旋转"
"HASH_E2C820AC": "从衣橱移除该物品，也会一并移除它所属的套装。"
"HASH_DD71C52C": "PRICE {GAME_CASH}{0}"
"HASH_7FE4D02C": "金色"
"HASH_A7FC2BAC": "GIVE ALIEN HOVERBIKE"
"HASH_0BE30D2C": "Switch to Explosive Blast"
"HASH_A945812C": "Multiplayer"
"HASH_DA87172C": "确定"
"STATS_YES": "是"
"HASH_B6F77AAD": "西装"
"HASH_C6EACAAD": "NO WARDEN"
"HASH_A597EEAD": "低重力"
"STAT_SWAT_KILLED": "SWAT 击杀数"
"HASH_3880802D": "LOYALTY MISSIONS COMPLETED"
"HASH_AA19152E": "体型"
"HASH_F2AE7FAE": "VIRUS INJECTION"
"HASH_8D3B28AE": "武器升级 - 1 级"
"HASH_75A1352E": "吐口水"
"HASH_E42CD02E": "出售中的据点"
"HASH_190C7DAE": "Control Options"
"HASH_684048AE": "Audio Settings"
"HASH_057F392E": "asshole"
"HASH_0694B82E": "ZINYAK STATUES DESTROYED"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "坦克大破坏：造成伤害"
"STAT_ORBS_FOUND": "CLUSTERS FOUND"
"HASH_23BDCD2F": "队友火力"
"HASH_8910B2AF": "警告"
"HASH_DBAD732F": "SECURITY DELETION"
"HASH_1E6A302F": "I want my birthday suit"
"HASH_9C819730": "{GAME_CASH}{0} PER HOUR"
"HASH_A8280030": "超级圣徒"
"HASH_098BC5B0": "我变巨人了"
"HASH_E45BC2B0": "I need Matt Miller"
"STAT_FRAUD_CASH_CLAIMED": "FRAUD: MONEY CLAIMED"
"STAT_DIVERSION_CASH_EARNED": "即时挑战赚取现金"
"HASH_8E89CD31": "去修车"
"HASH_259FECB1": "槽位 1"
"HASH_6C2CAA31": "{0}%%% 折扣"
"HASH_0CD86931": "女族长"
"HASH_A81196B1": "Everyone has gone insane!"
"HASH_857D7CB1": "你的载具质量无限，会撞开其他车辆。"
"HASH_2D302CB1": "Switch to Explosion Stomp"
"STAT_NEIGHBORHOODS_EXPLORED": "探索街区数"
"HASH_4A38ADB2": "轮胎花纹"
"HASH_705B98B2": "召唤火箭筒"
"HASH_0A0B1532": "召唤救护车"
"HASH_6B11F532": "Switch to Electricity Telekinesis"
"HASH_BBEA0C32": "Options"
"STAT_MISSIONS_FAILED": "任务失败数"
"STAT_COOP_TIME_PLAYED": "双人合作：游戏时长"
"HASH_3EEE0BB3": "诺里斯"
"HASH_3627CDB3": "Maxes out Super Power Strength."
"HASH_8A0140B3": "Start"
"HASH_7C607D33": "开始"
"HASH_7A937D34": "VIRUS INJECTION"
"HASH_7E94C2B4": "修复载具的全部损伤。"
"HASH_5967C034": "你杀死的人都会炸开。"
"HASH_DF2FF134": "I need my Dino"
"HASH_8E8302B4": "Switch to Glitch Blast"
"HASH_68B4AC35": "毕晓普"
"HASH_8FF2CF35": "中立"
"HASH_20DEF7B5": "I need Keith David"
"HASH_953A42B6": "退出"
"HASH_6EFCBA36": "淘气"
"HASH_A7CB3DB6": "Unlocks Telekinesis ability."
"HASH_C6BA6336": "New"
"HASH_A8B8F036": "Continue"
"STAT_BRUTES_KILLED": "巨兽击杀数"
"HASH_5A82CEB7": "螳螂"
"HASH_0212FD37": "god damnit"
"HASH_09A7E037": "否"
"HASH_F85048B8": "前往整形医生处"
"HASH_9DECF3B8": "改装"
"HASH_F07F97B8": "顺从"
"HASH_3794E8B8": "Unlocks super movement powers."
"HASH_B4F92CB8": "Switch to Rock Stomp"
"HASH_1F477838": "Audio Options"
"HASH_E9333238": "HOTSPOTS COMPLETED"
"STAT_BEST_WEAPON": "最佳武器"
"HASH_F9279CB9": "VIRUS INJECTION"
"HASH_933049B9": "VIRUS INJECTION"
"HASH_9F063439": "角色恢复正常"
"HASH_67952EB9": "I need Asha"
"STAT_LAW_ENFORCEMENT_KILLED": "执法者击杀总数"
"HASH_C249F53A": "起立"
"Infinite_Ammo": "无限弹药"
"HASH_BD994EBA": "给予现金"
"HASH_DE42B1BA": "Co-op Campaign"
"STAT_WEAPON_PISTOL": "手枪"
"STAT_TIME_PLAYED": "总游戏时长"
"HASH_B391E13B": "保存并退出"
"HASH_68078CBB": "80S"
"HASH_BC23C8BB": "100%% SUPER POWERS"
"STAT_HIGHEST_RANK_ACHIEVED": "达到的最高等级"
"STAT_FRAUD_TOTAL_DIVE_DISTANCE": "FRAUD: TOTAL DIVE DISTANCE"
"STAT_CAT_MOUSE_CASH_EARNED": "CAT & MOUSE: CACHE EARNED"
"HASH_19FD32BB": "BLAZIN: DISTANCE TRAVELLED"
"HASH_04755A3C": "DELETE"
"HASH_941352BC": "喷射"
"HASH_391FD6BC": "单发即可击杀。"
"STAT_UNARMED_KILLS": "徒手击杀数"
"STAT_TOTAL_CASH_SPENT": "TOTAL CACHE SPENT"
"HASH_0E87BF3D": "UNLOCK TELEKINESIS"
"HASH_B659EFBD": "行人雨"
"HASH_43CCA63D": "VIRUS COLLECTION"
"HASH_0A2EADBD": "Show Options"
"HASH_E5A2F8BE": "VIRUS INJECTION"
"HASH_97B765BE": "车辆"
"HASH_FA896C3E": "套装"
"HASH_A625303E": "王者"
"HASH_50DE5BBE": "I need Cyrus"
"HASH_094F983F": "Do you really want to accept this invite?\n(any unsaved progress will be lost)"
"HASH_8524873F": "Welcome to the real world."
"HASH_68D48CBF": "Hardcore"
"HASH_9DB93BBF": "Resume"
"HASH_DF899B40": "你无法脱下身上正穿着的胸罩。"
"HASH_FD2337C0": "VIRUS INJECTION"
"HASH_68F54F40": "脱掉当前所有衣物"
"HASH_10FF3DC0": "FAST FORWARD"
"HASH_F6D9A740": "Switch to Bling Buff"
"HASH_91E51540": "登录"
"STAT_MISSIONS_ATTEMPTED": "任务尝试数"
"STAT_LUCHADOR_SPECIALISTS_KILLED": "摔跤手帮专家击杀数"
"HASH_425B95C1": "凤凰"
"HASH_804C1CC1": "服装店"
"HASH_FC6A9B41": "Local"
"STAT_FRAUD_LONGEST_DIVE_DISTANCE": "FRAUD: LONGEST DIVE DISTANCE"
"HASH_FD9B5942": "丢弃物品"
"HASH_FA41A4C2": "VIRUS INJECTION"
"HASH_0DDA2EC2": "双拳"
"HASH_359116C2": "妈咪与女孩"
"HASH_C5ED0642": "的士服务"
"HASH_76B05942": "I need Pierce"
"HASH_B2AB00C2": "Switch to Freeze Blast"
"HASH_A6DE0042": "Casual"
"HASH_FCC95AC2": "Phone"
"HASH_97D163C2": "TIME LISTENING TO ZINYAK RADIO"
"HASH_706DF743": "奶昔"
"HASH_AB849FC4": "必需"
"HASH_633D6444": "你永远不会死。"
"HASH_CA60E744": "I need Zimos"
"HASH_08EBC5C5": "主色"
"HASH_D3415845": "已拥有"
"HASH_263750C5": "玉米洞"
"HASH_A8726D45": "你确定要删除这套装扮吗？\n你的衣物仍会保留在衣橱中。"
"HASH_89667EC5": "警察"
"STAT_VEHICLES_DESTROYED": "摧毁载具数"
"HASH_2F17E4C6": "请求治疗"
"HASH_140FC0C6": "[format][scale:1.0][image:map_store_tattoo][/format]"
"HASH_181729C6": "Switch to Fire Blast"
"HASH_2D800446": "MURDERBOTS KILLED"
"HASH_ABAF27C7": "目标位置"
"HASH_14013247": "迪洛"
"HASH_F79F0247": "Removes all existing Notoriety."
"HASH_F870EE47": "直上天堂"
"HASH_A0CD20C8": "VIRUS INJECTION"
"HASH_1A1A3CC8": "衣柜"
"HASH_84F9F148": "不保存退出"
"HASH_BEFC6B48": "爬行"
"HASH_EE985848": "狂潮模式"
"HASH_1C1718C8": "无限弹匣"
"HASH_74B404C8": "ALL UPGRADES"
"HASH_59280448": "Switch to Force Telekinesis"
"HASH_E9041C48": "Display"
"STAT_TOTAL_RESPECT": "TOTAL XP EARNED"
"HASH_A2BF0948": "DISTANCE BY SUPER JUMP"
"STAT_BEAT_COPS_KILLED": "巡警击杀数"
"HASH_6BD467C9": "细节色"
"HASH_889C9FC9": "VIRUS INJECTION"
"HASH_3C5C24C9": "无法读取该存档，因为文件已损坏或格式无效。"
"HASH_D2228AC9": "修车"
"HASH_8FBCC549": "Time speeds up."
"HASH_A108CDC9": "天使护卫"
"HASH_91F4BC49": "Manual"
"HASH_0FA1D649": "Show the Hub Menu"
"STAT_MASCOTS_KILLED": "击杀吉祥物"
"STAT_AUDIO_LOGS_FOUND": "AUDIO LOGS FOUND"
"HASH_3D0FA44A": "轮胎宽度"
"HASH_5A9431CA": "次要颜色"
"HASH_CDFFF84A": "你的现金不足以修复这辆载具。\n仍要取回吗？"
"HASH_8CCA09CA": "罗曼"
"HASH_2FEABC4A": "I need Shaundi"
"HASH_399AD0CA": "Switch to Electricity Buff"
"HASH_209891CA": "继续"
"STAT_WEAPON_SNIPER": "狙击枪"
"HASH_D966A84B": "你要购买该物品吗？"
"HASH_2CA8D5CB": "VIRUS INJECTION"
"HASH_5B8087CB": "ZIN NIGHT"
"HASH_432A1B4B": "I need Johnny"
"HASH_A6E183CB": "Load Game"
"STAT_VEHICLE_BIKE": "机车"
"STAT_HOMIES_RECRUITED": "招募兄弟数"
"STATS_DISTANCE_FEET": "%0.2fft"
"HASH_B618BFCC": "变焦"
"HASH_42018E4C": "下身"
"HASH_DA90AE4C": "坐姿"
"HASH_5DA5934C": "召唤的士"
"HASH_AB251DCC": "[format][scale:1.0][image:map_store_mechanic][/format]"
"HASH_C09CC44C": "Back"
"HASH_42B8C8CD": "你确定要删除这辆载具吗？"
"HASH_EEEEDACD": "公主"
"HASH_1B1A944D": "ASCII MODE"
"HASH_D702EE4D": "Switch to Bling Telekinesis"
"HASH_5E560E4E": "VIRUS INJECTION"
"HASH_EA2DFA4E": "删除装扮"
"HASH_BC60BC4E": "躯干纹身"
"HASH_B85CCDCE": "手臂纹身"
"HASH_DF0779CE": "头部"
"HASH_E8A6CCCE": "倒飞"
"HASH_6507D7CE": "FIGHT CLUB: ENEMIES DEFEATED"
"HASH_3182C7CF": "槽位 {0} - {1:TEXT_TAG_CRC}"
"HASH_9511154F": "猴子扳手"
"HASH_3878184F": "无敌模式"
"HASH_70D22B4F": "[format][scale:1.0][image:map_store_gun][/format]"
"STAT_WEAPON_SHOTGUN": "霰弹枪"
"STAT_TAUNTING_TOTAL_COPS_TAUNTED": "嘲讽警察总数"
"HASH_2BF4BA50": "开始"
"HASH_9E134DD1": "VIRUS INJECTION"
"HASH_79FE3ED1": "歹徒"
"HASH_C58A6651": "UNLOCK BUFF"
"HASH_5A0DA951": "I need Santa"
"HASH_B50C2BD2": "平民"
"HASH_386AE5D2": "I need Maero"
"HASH_926EB2D3": "退出电视？"
"HASH_B8753A53": "I need my mech suit"
"HASH_BE3DB3D3": "TK THROWS"
"HASH_1B0BC554": "涂装"
"HASH_CE0493D4": "VIRUS INJECTION"
"HASH_22C768D4": "放下直升机"
"HASH_ADDFD054": "Zee Mos"
"HASH_6666C454": "Campaign"
"HASH_0335D055": "丢弃物品"
"HASH_6F5D4255": "VIRUS INJECTION"
"HASH_92CC6855": "取消"
"HASH_6B5594D5": "身体"
"HASH_F5B355D5": "桑切斯"
"HASH_8549EDD5": "退出演示"
"HASH_B2D427D5": "MAYHEM"
"HASH_B9B2A6D5": "Switch to Ice Buff"
"HASH_F370F855": "Control Schemes"
"HASH_9E91BF55": "Show the Map"
"HASH_75D4EF55": "Music"
"HASH_862EB256": "轮胎花纹 #{0}"
"HASH_8DA9DE56": "升级商店"
"HASH_2BF5D2D6": "!!购买物品"
"HASH_25B7F256": "EXIT TO TITLE SCREEN"
"HASH_96ABF356": "GATEWAY"
"HASH_DDF816D7": "该类别下没有可用物品。"
"HASH_E006A0D7": "上身"
"HASH_FFF6B0D7": "龙"
"HASH_B88E2FD7": "所有路人都是吉祥物。"
"HASH_12AAAAD7": "无 HUD"
"HASH_8B6DABD7": "LAN Game"
"HASH_9CA8E3D7": "Operator"
"HASH_92C18257": "Powers"
"HASH_2C0DB4D8": "HACKED"
"HASH_39F16758": "机库"
"HASH_309CEBD8": "I need DJ"
"STAT_STORES_OWNED": "STORES HACKED"
"HASH_010D4F59": "切换到商店"
"HASH_8FCEFED9": "你的钱不够去看整形医生。"
"HASH_FEE8A759": "{0}%%% 控制力提升"
"HASH_61759D59": "项链"
"HASH_59061AD9": "约翰逊"
"HASH_6B3B9AD9": "预备嘻哈"
"Disable_Super_Move": "DISABLE SUPER MOVEMENT"
"STAT_WEAPON_RPG": "RPG"
"STAT_VEHICLE_AIRCRAFT": "飞行器"
"STAT_COOP_DEATHS": "双人合作：玩家造成的死亡数"
"HASH_19AB7DDA": "NO GLITCHES"
"HASH_7C487EDA": "未定义"
"HASH_364DF1DA": "开始游戏"
"HASH_74B3DDDB": "按 {ACTION_IMG} 把这辆载具存入车库"
"HASH_21A430DB": "帮派自定义"
"HASH_E4C8A7DB": "难度"
"HASH_5343FFDB": "淋浴"
"HASH_6B30785B": "漩涡"
"HASH_28F588DB": "所有路人都是妈咪与女孩。"
"HASH_E904CA5C": "超低轮廓"
"HASH_0F64925C": "VIRUS INJECTION"
"HASH_5F6690DC": "YOU DON'T HAVE ENOUGH CACHE"
"HASH_4E9DE05C": "Switch to Electric Buff"
"HASH_3AA300DD": "低轮廓"
"HASH_0519585D": "拳"
"HASH_3D6ADFDD": "指虎"
