# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_28564C38": "轮胎内藏伸缩刀刃，贴近车辆与行人行驶可造成伤害。"
"HASH_D2A8DA38": "男模鞋"
"HASH_55629C38": "OLD SCHOOL SAILOR"
"HASH_90848838": "蓝紫 7"
"HASH_FC149E39": "Player may now guide rockets with the reticle."
"HASH_806AD439": "Size doesn't matter. Or DOES it?"
"HASH_20EDE839": "4 out of 5 Xenomoprhs recommend this gun"
"HASH_9EF7B439": "银色子弹"
"HASH_A0B1B239": "深色紧身裤"
"HASH_A9BF8439": "LIL SLUGGER CAP"
"cm_suit_f_llk": "CAT SUIT"
"cm_hair_beehive-01": "THE BEEHIVE"
"HASH_496E9439": "无政府蝙蝠"
"HASH_3043D439": "卧底须"
"HASH_3758F639": "亮红"
"HASH_C401F63A": "MMM, GIBLETS"
"HASH_1CB4EE3A": "Inflate 'em ... like a boss!"
"HASH_1DBDA23A": "速度升级"
"HASH_5CA8B43A": "撞膝器"
"HASH_08864A3A": "超级英雄面罩"
"cf_hair_formalupdo_01": "FORMAL UPDO"
"HASH_2E24843B": "Old school meets high-tech."
"HASH_B818AA3B": "开始游戏"
"HASH_B1EEE83B": "斗牛士红"
"HASH_74FC9C3B": "轮辋套组 10"
"HASH_4F983C3C": "SUPER KNOCKBACK"
"HASH_04D7CE3C": "GOLD-PLATED"
"HASH_20F8EC3C": "铂金"
"HASH_3741023C": "狂野走秀毛衣"
"HASH_FEA9523D": "额头高度"
"HASH_3A64103D": "颧骨"
"HASH_1CF9DC3D": "强化车架是载具在炸成废铁前承受惊人冲击的关键。"
"HASH_94A8E23D": "天线"
"HASH_1193E63D": "哑光漆"
"HASH_D483683D": "GENTLEMANS LOAFERS"
"HASH_A7F3E03E": "CRIMSON"
"HASH_57B2223E": "DEEP SILVER"
"HASH_F919BE3E": "Lock and load."
"HASH_9936FC3E": "As seen in the classic 'The Zin with the Golden Gun'"
"HASH_53C5E63E": "MCMANUS 2020"
"HASH_120BCE3E": "无"
"HASH_FE8D1C3E": "WIFE BEATER TEASE"
"HASH_1830483E": "山丘巴黎风"
"HASH_451F5C3F": "额外配件"
"cm_ubdy_puffyvest01": "PUFFER VEST"
"HASH_EFCC7E3F": "草莓金发"
"HASH_0AFB1C3F": "玉米辫"
"HASH_99DF9A40": "GIRAFFE"
"HASH_5814F040": "SHOKOLOV AR"
"HASH_8996B440": "淡粉染"
"HASH_6785DA40": "女士时尚夹克"
"HASH_0F70B440": "做我的情人丁字裤"
"HASH_969D4241": "FORTRESS"
"HASH_70546441": "工地靴"
"HASH_33621241": "MARLEY"
"HASH_42DC9641": "越界者死"
"HASH_0E78C642": "购买/升级武器"
"HASH_D9F28842": "VINTAGE SWEATER VEST"
"HASH_F4918A42": "混战格斗缠手带"
"HASH_89F0DA42": "起床烘焙"
"HASH_DF6D5E42": "盛装出席"
"cm_lbdy_deckermatt": "DECKER KING PANTS"
"cm_hair_superhero": "THE SUPERHERO"
"Planet Saints Male D": "电音 DJ"
"HASH_D7514C43": "羽翼"
"HASH_8F4D5A44": "制导导弹"
"HASH_EADBD044": "Magnetic Mines for the win!"
"HASH_842D6044": "不足为奇"
"HASH_7B4DA844": "元气女孩耳环"
"HASH_CFEEB044": "皮革蕾丝腕带"
"HASH_62B8C044": "猫步围巾"
"HASH_C3207C44": "并非纯情短靴"
"cm_lbdy_benking": "KING STYLE SLACKS"
"HASH_BB11EE44": "挣脱锁链"
"HASH_8DF20645": "Firing the weapon creates an explosive backblast."
"HASH_A6CEC245": "糖果漆"
"HASH_B52CEC45": "女巫帽"
"HASH_8F102845": "默剧"
"HASH_20236A45": "灰色 5"
"HASH_953E6646": "油光拉美裔 1"
"HASH_CE50E046": "座舱"
"HASH_1C4F1446": "死神之面"
"HASH_6AA21847": "Erases your enemies"
"HASH_57BB3247": "浪子"
"HASH_C5E15447": "染色 5%%"
"HASH_53F8E447": "田径夹克"
"HASH_3A5F1C48": "POLKA-DOT"
"HASH_F5DCB448": "颧骨深度"
"HASH_A9572448": "非裔 3"
"HASH_2D132248": "贴花 6"
"cm_dkr01_suit": "赛博帮士兵"
"HASH_D2D3C848": "佩恩之须"
"HASH_B357EE48": "紫红 5"
"HASH_7D5F4248": "棕色 4"
"HASH_BA86C449": "眼影"
"HASH_CBC78449": "Z 风鞋"
"HASH_482E7A49": "真爱套装"
"HASH_2EAA6449": "TRIBAL BLADE"
"HASH_45219A49": "黄橙 9"
"HASH_02A0B44A": "拉美裔 4"
"HASH_CB62BE4A": "CAPTAIN SHIRT"
"HASH_EE15DE4A": "战面具"
"HASH_CE56384A": "亮黄"
"cm_lp35e_eyes_m_entertain": "ENTERTAINER SHADES"
"cm_lbdy_europants": "MESSY SLACKS"
"HASH_D6B3B44B": "R I T E"
"HASH_70816C4C": "Zin? Fin."
"HASH_D403044C": "眼型"
"HASH_9F55844C": "害怕"
"HASH_FAAAFC4C": "你的衣柜已达到可存放物品的数量上限。"
"HASH_9B3F044C": "货箱改装"
"HASH_BD726E4C": "双耳洞"
"cm_dkr01_hdphones": "DECKER HEADPHONES"
"HASH_9F81D64C": "凌厉眼线"
"HASH_344FFA4D": "DISINTEGRATOR"
"HASH_74CF9E4D": "下巴"
"HASH_98FEA24D": "染色 30%%"
"HASH_ED54764D": "都市猎装"
"HASH_5AAD664D": "上流西装裤"
"HASH_A383F84D": "安特卫普特调"
"HASH_DE4F5C4D": "农夫晒痕"
"HASH_5265424E": "狂野西部帽"
"HASH_B5FFEA4F": "HOT ROD"
"HASH_DD821C4F": "无声，却致命。"
"HASH_9C92084F": "选项 4"
"HASH_8484084F": "轮辋套组 6"
"cm_ap3_msspcl_eyes": "晨星帮专家眼镜"
"HASH_0FA7EC50": "公主紫"
"HASH_BC787250": "银"
"Lets Pretend Male C": "钢埠英雄"
"HASH_29C7A050": "双蛇"
"HASH_E6DEDE51": "眼褶高度"
"HASH_2A7EE651": "贴花 2"
"HASH_D5BE0C51": "查克须"
"HASH_B43A2A51": "紫红 1"
"HASH_E6018652": "Allows the weapon to carry more ammo"
"HASH_8D7AAC52": "INTERSTELLAR YELLOW"
"HASH_26BC4652": "恶魔面具"
"HASH_E7A7E452": "深棕"
"HASH_F873D452": "黄绿 8"
"HASH_C3DAB253": "Become death incarnate, or at least a guy with a sweet-looking gun."
"HASH_BB81E253": "女巫裤"
"HASH_AFE83654": "下颌"
"HASH_84338854": "大西洋青"
"HASH_77ECA855": "Intergalactic, Third Street Style"
"HASH_0CD88855": "浏览"
"HASH_188F6455": "后视镜"
"HASH_06983455": "MODERN SOLDIER"
"HASH_F9CBA255": "蒸汽朋克维多利亚靴"
"HASH_98EC1255": "斯芬克斯"
"HASH_488E0A56": "PURPLE PLAID"
"HASH_08989056": "VINTAGE SLACKS"
"HASH_AD0FD056": "谋略套装"
"HASH_499D6856": "山丘夹克配T恤"
"HASH_7D79CA57": "BOTTOMLESS BATTERY"
"HASH_A4467257": "混战格斗面罩"
"HASH_17104A57": "Hell's infernal legions costume! Become one of the crimson-skinned, and bring Steelport to its knees."
"HASH_4CDFF057": "圣徒一员"
"HASH_FDA48C57": "油亮高管"
"cf_hair_shortbob-02": "SCI-FI BOB"
"HASH_CBE0DA57": "弧形高纹"
"cm_ubdy_stag": "STAG HOODIE"
"HASH_CD5C4658": "GENERIC HERO BOOTS"
"HASH_45B15258": "双圣鸽"
"HASH_BCFF5658": "KO SHIKAKU SHURIKEN"
"HASH_8B48CE58": "痣 8"
"HASH_7D37CA59": "Retro cool."
"HASH_73443C59": "炫目墨镜"
"HASH_667B9059": "女式运动球衣"
"HASH_DF7A3659": "白色"
"HASH_4CA1D05A": "BLUE PLAID"
"HASH_EA8A005A": "贴花 10"
"HASH_0E58D65A": "吸汗带"
"HASH_879E365A": "亮绿"
"HASH_D03C885A": "右眼罩"
"HASH_D376765B": "亮黑"
"HASH_8344705B": "潮人牛仔裤"
"HASH_1AD36A5B": "都市猎装短裤"
"cm_lbdy_80sparachutepants": "PARACHUTE PANTS"
"HASH_CD51CA5C": "Joe Magarac's signature steel scooper."
"HASH_A244AA5C": "深黄染"
"cm_dlc_wwolf_hat_m_mask": "狼人面具"
"HASH_274EAE5C": "灰色 1"
"HASH_A5816C5C": "右肩"
"HASH_7C206C5D": "花之力耳环"
"HASH_BC7C2A5D": "继续游"
"HASH_603B7A5E": "下巴"
"HASH_50D6F65E": "角色扮演"
"HASH_B86B445E": "{0}"
"HASH_83AD325E": "GENTLEMANS SLACKS"
"cm_foot_80shightops": "80'S SK8R"
"HASH_97216A5F": "Increases the weapon's rate of fire"
"HASH_F908425F": "You talkin' to me?"
"HASH_1FCFBE5F": "标准"
"cm_ubdy_saintofsaints": "SAINT OF SAINTS TEE"
"cm_dlc_wwolf_hand_m_suit": "狼人手套"
"HASH_73164C60": "丧尸面具 2"
"HASH_7F1FC660": "MODERN SOLDIER PACK"
"cm_lp35q_hat_spikes": "SPIKES"
"HASH_C35D1E60": "GENERIC HERO PANTS"
"HASH_C2AB3C60": "万能软体动物"
"HASH_84AF2261": "COOL BLADE"
"HASH_FD3B0261": "THUMPGUN"
"HASH_41BE6661": "个性"
"HASH_607C4061": "王者"
"HASH_BB222461": "素面"
"HASH_82671061": "小巧圆环"
"HASH_8DA62E61": "惊艳乳胶手镯"
"HASH_C5F32A61": "RAGGED BOOTS"
"HASH_E7A39261": "豹纹"
"HASH_ABBDD862": "SWAT SMG"
"HASH_18927262": "马桶"
"HASH_73243862": "暗黑少女"
"HASH_67D97462": "罚球短裤"
"cm_ubdy_deckermatt": "DECKER KING JACKET"
"HASH_4C97D662": "黄橙 5"
"HASH_910B2463": "CANDY CANE"
"HASH_FF049C63": "布列塔尼绿"
"HASH_2FCBBA63": "诚实的亚伯帽"
"HASH_E2C35663": "贴头辫"
"HASH_BAE1A263": "紫红 9"
"HASH_74E90E63": "棕色 8"
"HASH_3B416664": "THIRD STREET"
"HASH_95244464": "选项 8"
"HASH_308AA464": "ACHIEVE THE IMPOSSIBLE"
"HASH_C2EDE064": "邪恶天才"
"HASH_B34D4465": "Allows the weapon to be fired more times between reloads"
"HASH_A872E065": "猴子把戏"
"HASH_A1FAE465": "南滩软呢帽"
"HASH_FB8F9065": "火辣长靴"
"HASH_368DC866": "Best of the West"
"HASH_1CF57C66": "罗曼"
"HASH_94BFDE66": "乌托尔刺客"
"HASH_C83AA866": "哥特人生裤"
"HASH_AA35B466": "黑天鹅"
"HASH_13CB9667": "WITCH BOOTS"
"HASH_59028267": "坏猫咪"
"HASH_2A0DF067": "战士公主上装"
"HASH_2EC9F067": "THE CHIEF"
"HASH_3D60F667": "橙色 2"
"HASH_10D59668": "Unleash a little police brutality"
"HASH_F8AA5468": "NOLAN NORTH"
"HASH_70A27A68": "性感魅力"
"HASH_63AB3268": "深红染"
"cm_hat_eagle_mask": "EAGLE MASK"
"HASH_AF1A6A69": "左腿"
"HASH_5912D86A": "Ye Olde Boomsticke"
"HASH_054B346A": "野性绿"
"HASH_07A5A86A": "普通测试服"
"HASH_7B08306A": "寻找平衡"
"HASH_523B3A6B": "DA WUB"
"HASH_9FA53E6B": "鼻孔高低"
"HASH_32DD106B": "座椅"
"HASH_1A5ED46B": "RETRO"
"HASH_BFAC926B": "懒散时尚"
"HASH_AA1FBE6B": "充气人偶"
"cm_hat_misfortune": "ROGUE HELM"
"HASH_4175406C": "Pound 'em with sound."
"HASH_E8D7C46C": "上唇中部大小"
"HASH_5E0D7E6C": "海军陆战队员"
"HASH_F566B06D": "Stake your claim on a golden gun."
"HASH_87C7766D": "Classic Street Heat"
"HASH_F5DF686D": "浑蛋"
"HASH_CB78786D": "整流罩"
"HASH_B8EB7E6D": "束缚"
"cm_ubdy_fleurs": "FLEUR HOODIE"
"HASH_15F9586D": "记住我"
"HASH_3160D26D": "引信已燃"
"HASH_6987266D": "兄弟会"
"HASH_EB6E7E6D": "描眉"
"HASH_38E8A06D": "雀斑"
"HASH_E288906E": "Burn them. Burn them all."
"CUST_VARIANT_BEADS": "珠饰"
"HASH_E025486E": "BATH ROBE"
"cf_hair_vintagebob-02": "VINTAGE VIXEN"
"HASH_3183D66E": "亮黄绿"
"HASH_2995266E": "灰色 9"
"HASH_A3C9606E": "内衣"
"HASH_CB0C006F": "Aliens never attack anyone with red on them, right?"
"HASH_8D9B2C6F": "家庭派对"
"HASH_42CCF86F": "圣徒鸢尾耳环"
"HASH_F520326F": "上流"
"HASH_149FCC70": "校队精神衫"
"HASH_A2BBCA71": "CAR CRUSHER"
"HASH_89D1B871": "恐惧"
"HASH_1E6ED471": "海湾黄"
"HASH_0CF00E71": "碰不得墨镜"
"HASH_10383871": "痞子帽"
"cm_lbdy_ridingpants": "RIDING PANTS"
"HASH_F3894672": "File your claim!"
"HASH_2E227072": "A very special Saints Row classic."
"HASH_99539872": "嗤笑"
"HASH_EF0FA872": "伯利兹绿"
"male_overweight": "男·超重"
"HASH_B8C15672": "抑郁独立青年"
"HASH_52128272": "甜心高跟鞋"
"HASH_DE2C9C72": "眼中有球"
"cf_ubdy_jacketcleavage": "SPRING JACKET"
"HASH_AEE4C272": "PROTECTOR"
"HASH_EFDC9E73": "下巴酒窝"
"HASH_F4A9A273": "石魔像灰"
"HASH_7B64DC73": "猎鹰人"
"cm_ubdy_postapocman": "APOCALYPTIC ARMOR"
"cm_lp35q_hat_reader": "READER"
"HASH_7C65F473": "紫色仙女"
"HASH_82FE8273": "痣 4"
"HASH_E407FE73": "项链"
"HASH_C3B7E474": "GENTLEMAN BANDIT"
"HASH_27EB5874": "亮紧丁字裤"
"HASH_67057474": "干活裤"
"cm_lp35e_lbdy_m_entertain": "ENTERTAINER PANTS"
"HASH_360D1674": "永属我"
"HASH_6EEAE274": "忍者缠带"
"HASH_5960BA75": "一路向西"
"HASH_96FBF875": "侧裙"
"HASH_8AF6E876": "我仍相信"
"HASH_59246476": "贴花"
"HASH_FFDE1676": "内饰"
"HASH_889A6876": "OG 裤"
